,product,link
0,Light & Free Fat Free Greek Style Strawberry Yogurts,https://groceries.asda.com/product/910002325420
1,ASDA Greek Style Yogurt,https://groceries.asda.com/product/25611979
2,ASDA Greek Style Yogurt,https://groceries.asda.com/product/910000773349
3,ASDA Greek Style Fat Free Yogurt,https://groceries.asda.com/product/910000461906
4,ASDA 6 Low Fat Red Fruit Yogurts,https://groceries.asda.com/product/910002962908
5,Munch Bunch Double Up Strawberry & Vanilla Yogurts,https://groceries.asda.com/product/910000446045
6,"Petits Filous Apricot, Strawberry & Raspberry Yogurt",https://groceries.asda.com/product/910001458433
7,Muller Corner Vanilla Chocolate Balls & Banana Chocolate Flakes Yogurt,https://groceries.asda.com/product/1000120228326
8,Muller Corner Vanilla Yogurt with Chocolate Balls,https://groceries.asda.com/product/1000120228362
9,Muller Corner Strawberry Yogurt,https://groceries.asda.com/product/1000120228322
10,Wildlife Variety Yogurt Choobs,https://groceries.asda.com/product/1000078555663
11,Muller Corner Banana Yogurt with Chocolate Flakes,https://groceries.asda.com/product/1000120228335
12,Petits Filous Apricot & Strawberry Yogurt,https://groceries.asda.com/product/910001458398
13,Muller Corner Strawberry Yogurt with White Chocolate Shortcake Balls,https://groceries.asda.com/product/1000120228351
14,Muller Light Fat Free Strawberry Yogurt,https://groceries.asda.com/product/1000116808369
15,Muller Corner Toffee Yogurt with Chocolate Hoops,https://groceries.asda.com/product/1000120228313
16,"Frubes Strawberry, Red Berry and Peach Flavour Yogurt",https://groceries.asda.com/product/1000078555677
17,Muller Light Fat Free Toffee Yogurt,https://groceries.asda.com/product/1000116808315
18,Muller Light Fat Free Banana and Custard Yogurt,https://groceries.asda.com/product/1000116808339
19,Petits Filous Raspberry & Strawberry Yogurt,https://groceries.asda.com/product/910001458097
20,Muller Corner Vanilla Yogurt with Chocolate Digestive Biscuits,https://groceries.asda.com/product/1000120228348
21,Muller Rice Strawberry Low Fat Dessert,https://groceries.asda.com/product/910001390057
22,Frubes Strawberry Flavour Yogurt,https://groceries.asda.com/product/1000078555632
23,Munch Bunch Squashums Raspberry Yogurt,https://groceries.asda.com/product/78035003
24,"Activia Mango, Strawberry, Kiwi and Apricot Yogurts",https://groceries.asda.com/product/1000106846691
25,Activia Strawberry Yogurts,https://groceries.asda.com/product/1000106846552
26,Activia Fat Free Strawberry Yogurts,https://groceries.asda.com/product/1000106846740
